Budget,Model,Seed_Set,Seed_Size,Seed_Cost,Remaining_Budget,Avg_Benefit,Profit,Avg_Timestep,Selection_Time,Simulation_Time,Total_Time,Epsilon,Selection_Simulations,Final_Simulations
500,weighted,"[25, 51, 11, 23, 27, 55]",6,470,30,23993.3436,23523.3436,4,0.23372125625610352,0.5090732574462891,0.7427945137023926,0.3,100,10000
1000,weighted,"[23, 55, 11, 49, 10, 39, 27, 60, 7, 41, 19, 24, 73]",13,989,11,30191.9394,29202.9394,4,0.43431568145751953,0.5866849422454834,1.021000623703003,0.3,100,10000
1500,weighted,"[64, 69, 51, 26, 45, 27, 5, 29, 62, 24, 70, 17, 11, 34, 10, 0, 18, 47, 19, 55]",20,1499,1,42836.7261,41337.7261,4,0.5987861156463623,0.5428040027618408,1.1415901184082031,0.3,100,10000
2000,weighted,"[69, 27, 19, 59, 62, 65, 57, 15, 49, 55, 12, 2, 0, 72]",14,1080,920,28394.2888,27314.2888,3,0.47206854820251465,0.5315911769866943,1.003659725189209,0.3,100,10000
2500,weighted,"[24, 20, 49, 63, 34, 68, 43, 71, 6, 45, 11, 38, 57, 19, 64, 31, 21]",17,1235,1265,29870.8666,28635.8666,3,0.5475361347198486,0.5945901870727539,1.1421263217926025,0.3,100,10000
