Budget,Model,Seed_Set,Seed_Size,Seed_Cost,Remaining_Budget,Avg_Benefit,Profit,Avg_Timestep,Selection_Time,Simulation_Time,Total_Time,Epsilon,Selection_Simulations,Final_Simulations
500,trivalency,"[55, 6, 70, 11, 18, 48, 68]",7,457,43,8777.3524,8320.3524,3,4.123459815979004,0.5628998279571533,4.686359643936157,0.1,100,10000
1000,trivalency,"[15, 6, 24, 48, 0, 30, 20, 19, 43, 64, 28, 39, 27, 73, 34]",15,964,36,16683.0656,15719.065600000002,3,0.6197352409362793,0.5341930389404297,1.153928279876709,0.1,100,10000
1500,trivalency,"[59, 62, 36, 0, 6, 27, 55, 37, 43, 25, 26, 20, 30, 54, 45, 24, 19, 2, 41, 12, 68, 73, 15]",23,1486,14,23806.8804,22320.8804,3,0.7715864181518555,0.591477632522583,1.3630640506744385,0.1,100,10000
2000,trivalency,"[54, 48, 20, 74, 19, 15, 70, 34, 26, 32, 55, 36, 0, 24, 28, 53, 67, 52, 11, 64, 4, 41, 58, 63, 30, 17, 18, 27, 40]",29,1978,22,30018.3342,28040.3342,3,0.9584095478057861,0.5381112098693848,1.496520757675171,0.1,100,10000
2500,trivalency,"[15, 54, 0, 6, 43, 63, 48, 73, 32, 23, 27, 68, 19, 36, 3, 50, 20, 33, 39, 25, 59, 69, 51, 1, 24, 26, 11, 2, 30, 4, 64, 45, 57, 41, 74, 17]",36,2474,26,36297.4201,33823.4201,3,1.129509449005127,0.5242173671722412,1.6537268161773682,0.1,100,10000
