Budget,Model,Seed_Set,Seed_Size,Seed_Cost,Remaining_Budget,Avg_Benefit,Profit,Avg_Timestep,Selection_Time,Simulation_Time,Total_Time,Epsilon,Selection_Simulations,Final_Simulations
500,trivalency,"[54, 55, 48, 36, 19, 37, 45, 26]",8,493,7,9313.4634,8820.4634,3,4.860844850540161,0.5232267379760742,5.384071588516235,0.3,100,10000
1000,trivalency,"[64, 15, 14, 36, 70, 59, 23, 41, 20, 67, 4, 45, 28, 8, 62]",15,962,38,14824.7379,13862.7379,2,0.4640007019042969,0.5276315212249756,0.9916322231292725,0.3,100,10000
1500,trivalency,"[50, 20, 45, 19, 23, 26, 11, 6, 58, 28, 32, 57, 48, 15, 34, 0, 55, 12, 64, 39, 71]",21,1475,25,23264.8696,21789.8696,3,0.6482243537902832,0.6174476146697998,1.265671968460083,0.3,100,10000
2000,trivalency,"[27, 55, 40, 64, 29, 37, 11, 32, 41, 30, 15, 44, 28, 54, 23, 6, 19, 73, 22, 75, 34, 26, 0, 58, 8, 43, 12, 3]",28,1951,49,28561.7992,26610.7992,3,0.8732049465179443,0.6291320323944092,1.5023369789123535,0.3,100,10000
2500,trivalency,"[54, 32, 6, 30, 12, 14, 0, 62, 56, 69, 7, 47, 58, 51, 74, 17, 36, 73, 48, 11, 20, 41, 13, 70, 39, 68, 59, 3, 28, 57, 35, 23, 16, 45]",34,2497,3,34685.9082,32188.908199999998,3,1.001906394958496,0.6134777069091797,1.6153841018676758,0.3,100,10000
