Budget,Model,Seed_Set,Seed_Size,Seed_Cost,Remaining_Budget,Avg_Benefit,Profit,Avg_Timestep,Selection_Time,Simulation_Time,Total_Time,Epsilon,Selection_Simulations,Final_Simulations
500,trivalency,"[73, 25, 30, 14, 27, 23, 57]",7,495,5,7873.7995,7378.7995,2,6.250500917434692,0.5912189483642578,6.84171986579895,0.6,100,10000
1000,trivalency,"[4, 39, 26, 54, 20, 74, 24, 67, 28, 25, 48, 12, 60, 0]",14,957,43,15060.9321,14103.9321,3,0.4225444793701172,0.5481469631195068,0.970691442489624,0.6,100,10000
1500,trivalency,"[19, 60, 14, 15, 48, 68, 7, 43, 11, 72, 73, 31, 17, 55, 59, 30, 4, 37, 24, 56, 64, 2]",22,1478,22,22462.8731,20984.8731,3,0.6708090305328369,0.5960543155670166,1.2668633460998535,0.6,100,10000
2000,trivalency,"[53, 45, 44, 73, 31, 25, 67, 23, 75, 10, 70, 1, 64, 17, 34, 0, 50, 42, 36, 35, 41, 68, 56, 13, 9, 7, 63]",27,1996,4,25713.2541,23717.2541,2,0.7942187786102295,0.6691207885742188,1.4633395671844482,0.6,100,10000
2500,trivalency,"[71, 59, 48, 45, 64, 5, 20, 56, 74, 72, 50, 60, 26, 44, 36, 68, 10, 29, 15, 12, 46, 37, 17, 22, 39, 3, 33, 14, 61, 31, 24, 19, 32, 2]",34,2458,42,32574.1271,30116.1271,3,1.000443935394287,0.6454854011535645,1.6459293365478516,0.6,100,10000
