Budget,Model,Seed_Set,Seed_Size,Seed_Cost,Remaining_Budget,Avg_Benefit,Profit,Avg_Timestep,Selection_Time,Simulation_Time,Total_Time,Selection_Simulations,Final_Simulations
500,weighted,"[38, 73, 43, 14, 47, 59, 28]",7,484,16,8785.6338,8301.6338,3,2.819031000137329,0.5569217205047607,3.37595272064209,100,10000
1000,weighted,"[65, 66, 35, 39, 9, 12, 44, 17, 50, 51, 52, 22]",12,999,1,13666.7194,12667.7194,3,3.814166784286499,0.6584975719451904,4.4726643562316895,100,10000
1500,weighted,"[0, 1, 13, 20, 21, 29, 31, 34, 36, 41, 43, 44, 50, 57, 59, 60, 64, 67, 70, 76]",20,1466,34,28457.7093,26991.7093,3,8.740413427352905,0.5586867332458496,9.299100160598755,100,10000
2000,weighted,"[4, 5, 6, 7, 11, 12, 17, 20, 23, 24, 26, 30, 32, 33, 34, 35, 37, 41, 42, 45, 46, 49, 58, 60, 71, 73, 74]",27,1991,9,38550.7716,36559.7716,4,9.918513298034668,0.5403807163238525,10.45889401435852,100,10000
2500,weighted,"[0, 1, 5, 10, 11, 18, 19, 20, 22, 24, 26, 29, 31, 32, 35, 39, 40, 42, 44, 45, 47, 48, 50, 51, 52, 58, 60, 61, 65, 66, 69, 72]",32,2484,16,47784.7632,45300.7632,3,12.352229833602905,0.5384485721588135,12.890678405761719,100,10000
