Model,Graph_Version,Total_Budget,Split_Ratio,Timestep,Phase1_Budget,Phase2_Budget,Phase1_Cost,Phase2_Cost,Phase1_Remaining_Budget,Phase2_Remaining_Budget,Total_Remaining_Budget,Phase1_SeedSize,Phase2_SeedSize,Total_SeedSize,Phase1_Seeds,Phase2_Seeds,Phase1_Activated_Count,Phase2_Activated_Count,Phase1_Profit,Phase2_Profit,Total_Profit,Phase2_Duration,Total_Timestep,Execution_Time,Epsilon
StochasticGreedy,Trivalency,500,0.1,2,50,450,50,331,0,119,119,1,5,6,54,"36,48,60,64,70",1,6.61,872.0,5607.72,6479.72,2,4,7.323523759841919,0.3
StochasticGreedy,Trivalency,500,0.1,4,50,450,50,440,0,10,10,1,6,7,54,"6,15,16,47,48,63",1,7.56,872.0,6561.57,7433.57,2,6,8.346897840499878,0.3
StochasticGreedy,Trivalency,500,0.1,6,50,450,50,442,0,8,8,1,6,7,54,"29,43,47,48,59,74",1,7.29,872.0,6395.81,7267.81,2,8,8.006596803665161,0.3
StochasticGreedy,Trivalency,500,0.1,8,50,450,50,447,0,3,3,1,7,8,54,"6,29,30,43,62,73,75",1,7.12,872.0,6423.69,7295.69,2,10,8.367836713790894,0.3
StochasticGreedy,Trivalency,500,0.1,10,50,450,50,415,0,35,35,1,6,7,54,"0,18,26,43,55,56",1,7.3,872.0,6409.02,7281.02,2,12,8.025429010391235,0.3
StochasticGreedy,Trivalency,1000,0.1,2,100,904,96,862,4,42,42,1,12,13,12,"0,7,22,36,39,43,56,58,60,67,73,74",1,12.6,869.0,10953.56,11822.56,2,4,8.11441969871521,0.3
StochasticGreedy,Trivalency,1000,0.1,4,100,923,77,542,23,381,381,1,8,9,25,"6,10,11,14,30,58,68,74",4,9.25,3462.0,7990.37,11452.369999999999,2,6,7.015641450881958,0.3
StochasticGreedy,Trivalency,1000,0.1,6,100,924,76,915,24,9,9,1,12,13,11,"3,5,8,9,12,15,28,30,53,54,63,69",4,12.37,3703.0,10648.11,14351.11,2,8,7.728915691375732,0.3
StochasticGreedy,Trivalency,1000,0.1,8,100,923,77,891,23,32,32,1,13,14,25,"4,5,20,24,27,34,43,67,68,72,73,74,75",4,13.97,3462.0,12102.11,15564.11,2,10,7.648602724075317,0.3
StochasticGreedy,Trivalency,1000,0.1,10,100,924,76,788,24,136,136,1,11,12,11,"18,19,24,26,35,46,48,70,71,74,75",1,13.21,876.0,11191.39,12067.39,3,13,8.018186330795288,0.3
StochasticGreedy,Trivalency,1500,0.1,2,150,1352,148,956,2,396,396,2,13,15,"11,23","3,4,12,15,26,43,47,53,54,56,59,74,75",4,13.68,3426.0,11939.69,15365.69,2,4,8.012975931167603,0.3
StochasticGreedy,Trivalency,1500,0.1,4,150,1351,149,1308,1,43,43,2,18,20,"23,25","2,6,7,15,17,20,26,27,37,41,50,58,60,62,66,68,72,76",4,19.21,3379.0,16401.77,19780.77,2,6,7.615849494934082,0.3
StochasticGreedy,Trivalency,1500,0.1,6,150,1385,115,1384,35,1,1,2,19,21,"50,68","0,1,3,5,8,14,31,32,34,36,41,43,44,52,64,65,66,67,72",2,19.83,1686.0,16422.68,18108.68,2,8,8.364176034927368,0.3
StochasticGreedy,Trivalency,1500,0.1,8,150,1351,149,1324,1,27,27,2,19,21,"23,25","0,2,4,8,20,21,27,31,33,34,43,44,45,50,53,54,69,73,75",2,19.78,1507.0,16844.44,18351.44,2,10,8.216166973114014,0.3
StochasticGreedy,Trivalency,1500,0.1,10,150,1423,77,1232,73,191,191,1,16,17,25,"0,2,3,9,11,12,20,26,27,33,44,54,56,58,60,62",3,18.23,2492.0,15486.73,17978.73,3,13,7.528776168823242,0.3
StochasticGreedy,Trivalency,2000,0.1,2,200,1878,122,1829,78,49,49,2,25,27,"55,68","2,4,8,13,14,21,22,28,32,33,34,37,39,40,42,44,50,51,52,54,61,67,71,74,76",2,25.3,1745.0,20675.5,22420.5,2,4,7.75287652015686,0.3
StochasticGreedy,Trivalency,2000,0.1,4,200,1871,129,1459,71,412,412,2,18,20,"11,36","7,8,9,21,29,39,42,47,48,49,55,58,59,62,66,71,72,74",3,19.41,2611.0,16491.67,19102.67,2,6,8.285794019699097,0.3
StochasticGreedy,Trivalency,2000,0.1,6,200,1838,162,943,38,895,895,2,13,15,"27,44","4,6,7,9,15,21,22,25,32,43,51,73,74",7,13.39,6245.0,11655.22,17900.22,2,8,8.083142280578613,0.3
StochasticGreedy,Trivalency,2000,0.1,8,200,1904,96,1060,104,844,844,1,14,15,12,"4,7,15,22,29,41,44,51,58,59,60,61,67,68",1,14.91,869.0,12628.97,13497.97,2,10,7.970122814178467,0.3
StochasticGreedy,Trivalency,2000,0.1,10,200,1863,137,1417,63,446,446,2,18,20,"11,43","0,7,14,21,25,32,35,37,38,40,42,46,56,58,66,69,72,75",4,19.01,3459.0,15915.67,19374.67,2,12,7.457810163497925,0.3
StochasticGreedy,Trivalency,2500,0.1,2,250,2277,223,1365,27,912,912,3,19,22,"11,20,29","3,6,12,14,15,28,30,32,34,37,42,44,46,52,58,66,68,71,72",6,19.67,5425.0,16431.61,21856.61,2,4,8.673919677734375,0.3
StochasticGreedy,Trivalency,2500,0.1,4,250,2348,152,1397,98,951,951,2,18,20,"25,39","1,5,7,8,22,23,24,27,35,36,44,52,56,57,67,69,72,73",3,19.4,2494.0,16340.84,18834.84,2,6,7.83517050743103,0.3
StochasticGreedy,Trivalency,2500,0.1,6,250,2284,216,930,34,1354,1354,3,13,16,"11,25,37","2,5,19,20,30,36,42,53,60,64,67,71,75",8,13.6,7143.0,11110.3,18253.3,2,8,7.992154121398926,0.3
StochasticGreedy,Trivalency,2500,0.1,8,250,2269,231,1693,19,576,576,3,22,25,"22,41,55","0,1,3,5,6,7,10,12,13,14,21,24,31,37,43,45,51,65,66,67,69,74",3,22.77,2489.0,19454.06,21943.06,2,10,7.748759746551514,0.3
StochasticGreedy,Trivalency,2500,0.1,10,250,2404,96,1823,154,581,581,1,24,25,12,"6,8,11,13,17,27,31,32,37,38,41,45,47,49,53,54,58,59,61,72,73,74,75,76",1,25.72,869.0,21672.1,22541.1,2,12,7.908177614212036,0.3
StochasticGreedy,Trivalency,500,0.3,2,150,363,137,358,13,5,5,2,6,8,"40,55","2,19,30,36,70,74",3,6.34,2407.0,5445.87,7852.87,2,4,7.025040149688721,0.3
StochasticGreedy,Trivalency,500,0.3,4,150,376,124,289,26,87,87,2,4,6,"20,70","2,11,25,34",4,5.36,3722.0,4387.62,8109.62,2,6,8.098844051361084,0.3
StochasticGreedy,Trivalency,500,0.3,6,150,356,144,214,6,142,142,2,3,5,"25,59","11,28,72",6,3.79,5338.0,3277.99,8615.99,2,8,7.231783866882324,0.3
StochasticGreedy,Trivalency,500,0.3,8,150,361,139,315,11,46,46,2,5,7,"27,54","11,15,19,31,70",3,5.95,2755.0,5143.16,7898.16,2,10,7.015326499938965,0.3
StochasticGreedy,Trivalency,500,0.3,10,150,363,137,229,13,134,134,2,3,5,"40,55","22,27,73",5,3.32,4453.0,2939.23,7392.23,2,12,7.9666242599487305,0.3
StochasticGreedy,Trivalency,1000,0.3,2,300,863,137,863,163,0,0,2,13,15,"40,55","0,6,14,15,16,20,50,51,63,68,69,70,74",2,13.89,1564.0,12257.59,13821.59,2,4,7.934281587600708,0.3
StochasticGreedy,Trivalency,1000,0.3,4,300,863,137,622,163,241,241,2,10,12,"40,55","2,6,8,14,15,19,32,43,54,72",2,10.19,1564.0,8792.17,10356.17,2,6,8.141542434692383,0.3
StochasticGreedy,Trivalency,1000,0.3,6,300,923,77,536,223,387,387,1,7,8,25,"1,12,23,29,59,62,73",7,7.61,6235.0,6507.33,12742.33,2,8,8.040617227554321,0.3
StochasticGreedy,Trivalency,1000,0.3,8,300,923,77,893,223,30,30,1,12,13,25,"3,6,7,27,28,35,42,45,49,56,68,73",2,12.53,1649.0,10908.73,12557.73,2,10,8.273677825927734,0.3
StochasticGreedy,Trivalency,1000,0.3,10,300,710,290,708,10,2,2,4,10,14,"28,39,55,71","20,23,29,33,37,46,48,61,70,73",6,11.57,5155.0,9734.58,14889.58,2,12,7.795152425765991,0.3
StochasticGreedy,Trivalency,1500,0.3,2,450,1317,183,893,267,424,424,2,12,14,"27,53","0,8,11,12,15,17,18,37,39,41,44,51",3,13.78,2536.0,11960.0,14496.0,2,4,8.357737064361572,0.3
StochasticGreedy,Trivalency,1500,0.3,4,450,1331,169,992,281,339,339,2,14,16,"11,58","1,4,17,21,28,30,36,45,48,52,59,62,69,74",2,15.46,1705.0,13216.46,14921.46,2,6,8.191954135894775,0.3
