Budget,Model,Seed_Set,Seed_Size,Seed_Cost,Remaining_Budget,Avg_Benefit,Profit,Avg_Timestep,Selection_Time,Simulation_Time,Total_Time,Epsilon,Selection_Simulations,Final_Simulations
500,uniform,"[26, 0, 69, 68, 34, 2, 59]",7,466,34,11266.8925,10800.8925,3,0.227553129196167,0.6021220684051514,0.8296751976013184,0.6,100,10000
1000,uniform,"[73, 55, 3, 43, 67, 62, 57, 52, 64, 70, 27, 54, 33, 26]",14,953,47,17904.9363,16951.9363,3,0.42734599113464355,0.5312097072601318,0.9585556983947754,0.6,100,10000
1500,uniform,"[0, 27, 6, 76, 15, 33, 2, 57, 45, 40, 21, 14, 48, 8, 20, 51, 73, 37, 35, 4, 68]",21,1498,2,25816.4607,24318.4607,3,0.6402418613433838,0.6517505645751953,1.291992425918579,0.6,100,10000
2000,uniform,"[76, 68, 63, 19, 18, 49, 20, 13, 8, 40, 48, 25, 11, 22, 75, 62, 41, 15, 72, 2, 36, 50, 5, 39, 56, 37, 43]",27,1998,2,31612.1059,29614.1059,3,0.8244113922119141,0.6092178821563721,1.4336292743682861,0.6,100,10000
2500,uniform,"[23, 27, 64, 40, 50, 72, 55, 20, 0, 73, 29, 67, 36, 22, 52, 6, 59, 7, 30, 5, 4, 39, 18, 3, 19, 2, 14, 63, 58, 34, 74, 75, 16, 25, 71]",35,2495,5,38702.7363,36207.7363,3,1.0703372955322266,0.6834094524383545,1.753746747970581,0.6,100,10000
