Budget,Model,Seed_Set,Seed_Size,Seed_Cost,Remaining_Budget,Avg_Benefit,Profit,Avg_Timestep,Selection_Time,Simulation_Time,Total_Time,Selection_Simulations,Final_Simulations
500,uniform,"[39, 75, 14, 15, 49, 20, 29]",7,497,3,8031.675,7534.675,2,2.881070852279663,0.6249713897705078,3.506042242050171,100,10000
1000,uniform,"[3, 36, 69, 6, 8, 73, 74, 11, 45, 48, 51, 21, 58]",13,951,49,20089.0646,19138.0646,4,4.546612501144409,0.5630018711090088,5.109614372253418,100,10000
1500,uniform,"[1, 5, 12, 14, 19, 20, 24, 30, 33, 34, 35, 36, 37, 44, 46, 55, 57, 62, 64, 69]",20,1466,34,23282.1628,21816.1628,3,8.84998631477356,0.516610860824585,9.366597175598145,100,10000
2000,uniform,"[3, 4, 5, 7, 12, 13, 14, 17, 18, 21, 28, 29, 33, 35, 37, 42, 45, 50, 57, 58, 60, 61, 72, 74, 75]",25,1953,47,26605.3689,24652.3689,3,12.630795240402222,0.604036808013916,13.234832048416138,100,10000
2500,uniform,"[2, 5, 6, 7, 9, 10, 14, 15, 18, 23, 27, 28, 29, 32, 35, 41, 42, 44, 45, 48, 51, 52, 53, 56, 58, 59, 61, 62, 63, 70, 71, 76]",32,2473,27,35062.3045,32589.3045,3,12.88800859451294,0.5094559192657471,13.397464513778687,100,10000
