Budget,Model,Seed_Set,Seed_Size,Seed_Cost,Remaining_Budget,Avg_Benefit,Profit,Avg_Timestep,Selection_Time,Simulation_Time,Total_Time,Epsilon,Selection_Simulations,Final_Simulations
500,uniform,"[24, 55, 0, 26, 11, 48, 23]",7,475,25,17211.5277,16736.5277,4,0.6092274188995361,0.5561301708221436,1.1653575897216797,0.01,100,10000
1000,uniform,"[26, 48, 0, 11, 55, 19, 70, 45, 24, 23, 28, 62, 12, 64]",14,954,46,23804.104,22850.104,4,0.7348284721374512,0.591538667678833,1.3263671398162842,0.01,100,10000
1500,uniform,"[48, 20, 24, 23, 0, 26, 33, 55, 11, 34, 62, 28, 68, 36, 25, 50, 17, 14, 39, 59, 2, 74]",22,1465,35,30885.3683,29420.3683,3,0.9852538108825684,0.5825703144073486,1.567824125289917,0.01,100,10000
2000,uniform,"[11, 18, 57, 26, 24, 39, 17, 43, 36, 33, 64, 25, 31, 23, 0, 19, 55, 73, 37, 6, 7, 27, 68, 56, 40, 48, 45, 58]",28,1960,40,36235.0104,34275.0104,3,1.0906696319580078,0.5177943706512451,1.608464002609253,0.01,100,10000
2500,uniform,"[48, 37, 0, 11, 24, 25, 6, 36, 58, 73, 45, 39, 55, 14, 17, 12, 18, 34, 47, 33, 20, 23, 64, 10, 1, 30, 72, 44, 59, 7, 49, 29, 52, 26]",34,2453,47,40919.7834,38466.7834,3,1.2973952293395996,0.6128659248352051,1.9102611541748047,0.01,100,10000
