Model,Graph_Version,Total_Budget,Split_Ratio,Timestep,Phase1_Budget,Phase2_Budget,Phase1_Cost,Phase2_Cost,Phase1_Remaining_Budget,Phase2_Remaining_Budget,Total_Remaining_Budget,Phase1_SeedSize,Phase2_SeedSize,Total_SeedSize,Phase1_Seeds,Phase2_Seeds,Phase1_Activated_Count,Phase2_Activated_Count,Phase1_Profit,Phase2_Profit,Total_Profit,Phase2_Duration,Total_Timestep,Execution_Time,Epsilon
StochasticGreedy,Weighted,500,0.1,2,50,450,50,331,0,119,119,1,5,6,54,"0,11,25,30,74",1,26.88,872.0,24195.36,25067.36,4,6,8.09535527229309,0.6
StochasticGreedy,Weighted,500,0.1,4,50,450,50,450,0,0,0,1,7,8,54,"0,23,37,39,45,68,70",1,19.93,872.0,17977.54,18849.54,3,7,8.23620343208313,0.6
StochasticGreedy,Weighted,500,0.1,6,50,450,50,342,0,108,108,1,5,6,54,"0,11,15,41,52",1,24.07,872.0,21650.15,22522.15,4,10,8.899778127670288,0.6
StochasticGreedy,Weighted,500,0.1,8,50,450,50,431,0,19,19,1,6,7,54,"0,6,11,18,40,53",1,24.84,872.0,22263.35,23135.35,4,12,8.512206554412842,0.6
StochasticGreedy,Weighted,500,0.1,10,50,450,50,403,0,47,47,1,5,6,54,"11,25,49,58,64",1,22.26,872.0,19483.55,20355.55,4,14,8.38643765449524,0.6
StochasticGreedy,Weighted,1000,0.1,2,100,925,75,900,25,25,25,1,12,13,48,"5,6,8,11,12,13,18,24,30,31,33,66",6,22.77,5539.0,19850.54,25389.54,4,6,8.334087371826172,0.6
StochasticGreedy,Weighted,1000,0.1,4,100,923,77,895,23,28,28,1,11,12,25,"3,7,14,18,24,34,47,49,58,61,65",9,17.2,8104.0,14554.19,22658.190000000002,3,7,7.594238758087158,0.6
StochasticGreedy,Weighted,1000,0.1,6,100,923,77,680,23,243,243,1,10,11,25,"0,11,19,23,29,32,43,46,68,73",5,30.53,4420.0,27294.79,31714.79,3,9,7.465815544128418,0.6
StochasticGreedy,Weighted,1000,0.1,8,100,909,91,500,9,409,409,1,7,8,51,"0,8,11,43,48,57,68",2,28.45,1803.0,25648.6,27451.6,4,12,8.060429096221924,0.6
StochasticGreedy,Weighted,1000,0.1,10,100,937,63,817,37,120,120,1,11,12,24,"3,8,9,22,26,30,34,46,48,62,74",8,17.79,7057.0,15479.21,22536.21,3,13,8.26729130744934,0.6
StochasticGreedy,Weighted,1500,0.1,2,150,1366,134,1164,16,202,202,2,16,18,"48,67","0,13,20,30,40,43,44,52,63,69,70,71,72,74,75,76",8,24.77,6989.0,21607.56,28596.56,3,5,8.675624370574951,0.6
StochasticGreedy,Weighted,1500,0.1,4,150,1353,147,405,3,948,948,2,6,8,"18,48","0,10,15,23,24,64",8,18.47,7327.0,16284.88,23611.879999999997,3,7,8.434572696685791,0.6
StochasticGreedy,Weighted,1500,0.1,6,150,1353,147,695,3,658,658,2,9,11,"22,26","1,11,27,43,45,47,59,65,74",6,20.96,5422.0,18391.94,23813.94,4,10,7.859392404556274,0.6
StochasticGreedy,Weighted,1500,0.1,8,150,1406,94,641,56,765,765,1,8,9,57,"8,9,11,12,19,37,39,49",2,21.03,1706.0,18518.78,20224.78,4,12,7.51489782333374,0.6
