Model,Graph_Version,Total_Budget,Split_Ratio,Timestep,Phase1_Budget,Phase2_Budget,Phase1_Cost,Phase2_Cost,Phase1_Remaining_Budget,Phase2_Remaining_Budget,Total_Remaining_Budget,Phase1_SeedSize,Phase2_SeedSize,Total_SeedSize,Phase1_Seeds,Phase2_Seeds,Phase1_Activated_Count,Phase2_Activated_Count,Phase1_Profit,Phase2_Profit,Total_Profit,Phase2_Duration,Total_Timestep,Execution_Time,Epsilon
StochasticGreedy,Trivalency,500,0.1,2,50,450,50,400,0,50,50,1,6,7,54,"6,8,11,39,64,74",1,7.25,872.0,6455.75,7327.75,2,4,7.837438344955444,0.1
StochasticGreedy,Trivalency,500,0.1,4,50,450,50,335,0,115,115,1,4,5,54,"5,11,27,48",1,6.43,872.0,5605.64,6477.64,3,7,7.418285608291626,0.1
StochasticGreedy,Trivalency,500,0.1,6,50,450,50,281,0,169,169,1,4,5,54,"12,30,48,68",1,5.78,872.0,5097.91,5969.91,3,9,8.254729747772217,0.1
StochasticGreedy,Trivalency,500,0.1,8,50,450,50,290,0,160,160,1,4,5,54,"11,19,23,48",1,6.49,872.0,5548.58,6420.58,3,11,8.407975435256958,0.1
StochasticGreedy,Trivalency,500,0.1,10,50,450,50,326,0,124,124,1,4,5,54,"3,11,27,48",1,6.43,872.0,5695.5,6567.5,3,13,8.201426267623901,0.1
StochasticGreedy,Trivalency,1000,0.1,2,100,928,72,709,28,219,219,1,10,11,23,"1,8,11,15,18,39,43,45,72,75",2,10.95,1581.0,9631.82,11212.82,2,4,8.042461395263672,0.1
StochasticGreedy,Trivalency,1000,0.1,4,100,928,72,676,28,252,252,1,9,10,23,"6,13,16,19,20,28,48,60,61",2,10.61,1680.0,9066.68,10746.68,2,6,8.289202451705933,0.1
StochasticGreedy,Trivalency,1000,0.1,6,100,928,72,758,28,170,170,1,10,11,23,"21,27,34,45,55,61,62,63,68,69",1,11.27,749.0,9734.09,10483.09,2,8,8.067036151885986,0.1
StochasticGreedy,Trivalency,1000,0.1,8,100,928,72,830,28,98,98,1,12,13,23,"14,15,18,28,29,36,39,44,45,47,66,67",3,12.39,2446.0,10546.42,12992.42,2,10,7.791575908660889,0.1
StochasticGreedy,Trivalency,1000,0.1,10,100,928,72,612,28,316,316,1,9,10,23,"5,15,28,31,36,40,45,51,59",5,9.49,4329.0,8094.99,12423.99,2,12,7.777935266494751,0.1
StochasticGreedy,Trivalency,1500,0.1,2,150,1351,149,1325,1,26,26,2,18,20,"23,25","2,3,7,9,14,28,32,37,38,45,51,52,55,59,60,61,62,64",2,18.75,1507.0,15502.63,17009.629999999997,2,4,7.775364398956299,0.1
StochasticGreedy,Trivalency,1500,0.1,4,150,1359,141,1311,9,48,48,2,19,21,"4,23","2,6,12,21,25,28,31,41,45,48,50,52,54,55,60,61,67,68,70",3,21.05,2456.0,17592.46,20048.46,2,6,8.3016996383667,0.1
StochasticGreedy,Trivalency,1500,0.1,6,150,1351,149,1306,1,45,45,2,17,19,"23,25","0,1,4,5,15,22,27,32,35,41,43,53,54,57,65,67,75",4,17.87,3320.0,15137.03,18457.03,2,8,7.611569881439209,0.1
StochasticGreedy,Trivalency,1500,0.1,8,150,1359,141,905,9,454,454,2,13,15,"4,23","6,18,29,30,32,34,37,39,48,58,59,63,68",2,15.18,1572.0,13144.98,14716.98,2,10,7.565258502960205,0.1
StochasticGreedy,Trivalency,1500,0.1,10,150,1371,129,762,21,609,609,2,11,13,"23,68","10,14,19,27,36,37,41,43,48,59,67",2,12.82,1679.0,10979.04,12658.04,2,12,8.22937536239624,0.1
StochasticGreedy,Trivalency,2000,0.1,2,200,1866,134,1425,66,441,441,2,20,22,"48,67","6,9,14,15,16,18,21,28,33,39,40,43,45,47,50,53,62,64,72,73",4,20.41,3454.0,17268.7,20722.7,2,4,8.02544379234314,0.1
StochasticGreedy,Trivalency,2000,0.1,4,200,1868,132,1237,68,631,631,2,17,19,"23,26","3,5,6,7,10,18,28,34,43,52,55,58,59,66,67,70,74",2,18.31,1595.0,15615.75,17210.75,2,6,7.521586894989014,0.1
StochasticGreedy,Trivalency,2000,0.1,6,200,1859,141,887,59,972,972,2,12,14,"4,23","9,11,18,20,21,25,28,34,37,48,62,64",2,14.66,1572.0,12487.81,14059.81,3,9,8.190147638320923,0.1
StochasticGreedy,Trivalency,2000,0.1,8,200,1801,199,1134,1,667,667,3,16,19,"48,55,70","0,6,9,14,15,20,28,35,39,45,51,61,66,68,69,73",4,16.91,3474.0,14848.12,18322.120000000003,2,10,7.974362850189209,0.1
StochasticGreedy,Trivalency,2000,0.1,10,200,1861,139,1078,61,783,783,2,14,16,"23,32","0,3,11,25,27,34,36,39,47,48,57,61,68,72",2,17.27,1533.0,14906.66,16439.66,3,13,7.274523019790649,0.1
StochasticGreedy,Trivalency,2500,0.1,2,250,2371,129,1180,121,1191,1191,2,16,18,"23,68","0,3,8,13,14,15,25,32,41,52,56,59,60,69,74,75",3,16.92,2492.0,14486.6,16978.6,2,4,8.157942056655884,0.1
StochasticGreedy,Trivalency,2500,0.1,4,250,2317,183,1316,67,1001,1001,3,17,20,"6,20,55","3,7,13,16,17,18,21,24,28,34,41,49,51,59,63,73,74",4,18.19,3594.0,15500.66,19094.66,2,6,8.423463106155396,0.1
StochasticGreedy,Trivalency,2500,0.1,6,250,2292,208,928,42,1364,1364,3,14,17,"4,55,62","6,8,14,15,17,19,26,35,45,48,50,52,64,75",3,15.75,2537.0,13371.14,15908.14,2,8,7.9182960987091064,0.1
StochasticGreedy,Trivalency,2500,0.1,8,250,2311,189,1167,61,1144,1144,3,17,20,"6,11,26","0,12,14,19,20,23,36,37,51,59,62,64,66,67,68,70,75",5,18.24,4363.0,15799.4,20162.4,2,10,8.219006299972534,0.1
StochasticGreedy,Trivalency,2500,0.1,10,250,2351,149,1192,101,1159,1159,2,17,19,"23,25","4,7,8,11,14,21,27,29,30,31,37,43,60,63,70,73,74",3,18.02,2497.0,15616.21,18113.21,2,12,7.723403692245483,0.1
StochasticGreedy,Trivalency,500,0.3,2,150,365,135,192,15,173,173,2,3,5,"45,48","6,11,24",7,3.9,6186.0,3444.59,9630.59,2,4,8.00875973701477,0.1
StochasticGreedy,Trivalency,500,0.3,4,150,359,141,258,9,101,101,2,4,6,"4,23","24,26,45,48",4,5.86,3217.0,5109.98,8326.98,3,7,7.588793039321899,0.1
StochasticGreedy,Trivalency,500,0.3,6,150,371,129,197,21,174,174,2,3,5,"23,68","11,26,43",6,4.04,5295.0,3605.21,8900.21,2,8,8.450103044509888,0.1
StochasticGreedy,Trivalency,500,0.3,8,150,359,141,194,9,165,165,2,3,5,"4,23","48,64,68",4,4.65,3291.0,4038.07,7329.07,2,10,7.846100091934204,0.1
StochasticGreedy,Trivalency,500,0.3,10,150,359,141,359,9,0,0,2,5,7,"4,23","36,45,51,58,64",5,5.84,4352.0,5014.81,9366.810000000001,2,12,8.306288480758667,0.1
StochasticGreedy,Trivalency,1000,0.3,2,300,725,275,725,25,0,0,4,10,14,"2,6,7,11","16,29,30,31,43,62,63,69,70,71",4,10.56,3473.0,9015.82,12488.82,2,4,7.466404914855957,0.1
StochasticGreedy,Trivalency,1000,0.3,4,300,859,141,567,159,292,292,2,8,10,"4,23","6,8,10,17,48,59,68,75",4,9.41,3365.0,8201.34,11566.34,2,6,7.643172264099121,0.1
StochasticGreedy,Trivalency,1000,0.3,6,300,786,214,774,86,12,12,3,11,14,"23,25,55","5,6,9,15,16,27,30,43,45,59,74",5,11.62,4098.0,10252.3,14350.3,2,8,7.5663838386535645,0.1
StochasticGreedy,Trivalency,1000,0.3,8,300,856,144,826,156,30,30,2,12,14,"18,23","14,15,19,24,26,31,35,36,57,58,63,70",2,13.72,1580.0,11685.07,13265.07,2,10,7.6261396408081055,0.1
StochasticGreedy,Trivalency,1000,0.3,10,300,788,212,485,88,303,303,3,8,11,"25,45,48","6,15,20,23,43,50,55,70",7,8.67,6231.0,7515.02,13746.02,2,12,7.8801047801971436,0.1
StochasticGreedy,Trivalency,1500,0.3,2,450,1289,211,602,239,687,687,3,8,11,"6,11,60","0,5,12,16,30,34,43,48",6,9.65,5233.0,8336.77,13569.77,2,4,7.690178871154785,0.1
StochasticGreedy,Trivalency,1500,0.3,4,450,1285,215,736,235,549,549,3,10,13,"8,19,48","0,5,21,45,51,67,68,73,75,76",8,10.41,7303.0,9085.96,16388.96,2,6,7.962590217590332,0.1
StochasticGreedy,Trivalency,1500,0.3,6,450,1251,249,789,201,462,462,3,12,15,"27,58,59","0,6,11,16,23,25,30,32,52,67,68,73",6,14.1,5451.0,11982.78,17433.78,2,8,7.287078619003296,0.1
StochasticGreedy,Trivalency,1500,0.3,8,450,1359,141,740,309,619,619,2,10,12,"4,23","10,19,21,24,26,30,42,51,64,69",3,11.44,2540.0,9646.06,12186.06,2,10,8.527863264083862,0.1
StochasticGreedy,Trivalency,1500,0.3,10,450,1229,271,1220,179,9,9,4,17,21,"30,51,55,64","0,5,6,7,12,19,23,28,37,40,42,50,58,65,68,70,74",6,17.83,5107.0,15164.37,20271.370000000003,2,12,8.09265685081482,0.1
StochasticGreedy,Trivalency,2000,0.3,2,600,1767,233,1183,367,584,584,3,17,20,"11,35,59","14,17,18,23,38,43,45,54,55,56,64,66,68,73,74,75,76",5,18.24,4515.0,15448.46,19963.46,2,4,8.099154472351074,0.1
StochasticGreedy,Trivalency,2000,0.3,4,600,1905,95,1199,505,706,706,1,18,19,49,"4,6,8,15,16,20,25,28,32,37,39,44,48,54,62,73,74,75",1,19.73,718.0,17215.53,17933.53,2,6,8.017355680465698,0.1
StochasticGreedy,Trivalency,2000,0.3,6,600,1787,213,1296,387,491,491,3,18,21,"24,28,71","17,18,20,26,31,33,37,38,43,44,51,53,58,62,68,69,70,73",3,19.37,2397.0,16479.8,18876.8,2,8,7.921863317489624,0.1
StochasticGreedy,Trivalency,2000,0.3,8,600,1779,221,1133,379,646,646,3,16,19,"22,23,64","4,8,28,30,36,39,40,43,44,47,48,58,67,69,72,74",4,17.42,3175.0,14841.11,18016.11,2,10,8.04108190536499,0.1
StochasticGreedy,Trivalency,2000,0.3,10,600,1766,234,1467,366,299,299,3,20,23,"11,12,64","1,6,8,15,24,25,27,29,35,41,43,50,51,54,58,61,73,74,75,76",4,21.37,3468.0,18338.87,21806.87,2,12,7.675306558609009,0.1
StochasticGreedy,Trivalency,2500,0.3,2,750,2368,132,1093,618,1275,1275,2,14,16,"23,26","7,9,10,12,13,15,16,17,19,24,36,50,57,72",3,15.41,2573.0,12979.76,15552.76,2,4,8.159429788589478,0.1
StochasticGreedy,Trivalency,2500,0.3,4,750,2290,210,1277,540,1013,1013,3,17,20,"17,26,75","6,16,27,28,42,43,45,47,48,51,53,58,60,68,71,73,74",3,19.15,2497.0,16484.27,18981.27,3,7,7.61608624458313,0.1
StochasticGreedy,Trivalency,2500,0.3,6,750,2253,247,1775,503,478,478,3,25,28,"43,49,51","1,2,3,7,12,24,30,34,35,37,39,40,44,50,52,54,59,63,67,68,69,71,73,74,75",3,26.06,2536.0,21813.82,24349.82,2,8,7.908740520477295,0.1
