Budget,Model,Seed_Set,Seed_Size,Seed_Cost,Remaining_Budget,Avg_Benefit,Profit,Avg_Timestep,Selection_Time,Simulation_Time,Total_Time,Epsilon,Selection_Simulations,Final_Simulations
500,uniform,"[26, 27, 24, 55, 23, 2, 11]",7,490,10,15464.0043,14974.0043,4,0.29187536239624023,0.5495755672454834,0.8414509296417236,0.3,100,10000
1000,uniform,"[48, 24, 26, 31, 54, 73, 20, 70, 45, 0, 55, 68, 53, 37, 35]",15,979,21,21210.4186,20231.4186,3,0.46629834175109863,0.5592861175537109,1.0255844593048096,0.3,100,10000
1500,uniform,"[18, 15, 62, 55, 11, 27, 70, 0, 24, 35, 51, 75, 23, 64, 19, 48, 7, 49, 25, 36]",20,1448,52,29453.0357,28005.0357,3,0.6781082153320312,0.4994964599609375,1.1776046752929688,0.3,100,10000
2000,uniform,"[48, 60, 7, 26, 43, 23, 41, 4, 57, 24, 25, 54, 14, 55, 3, 13, 12, 6, 62, 21, 0, 74, 68, 30, 50, 22, 11, 36]",28,1996,4,35150.6551,33154.6551,3,0.8721311092376709,0.5934007167816162,1.465531826019287,0.3,100,10000
2500,uniform,"[0, 44, 12, 23, 55, 63, 14, 33, 26, 60, 10, 42, 29, 3, 75, 13, 15, 57, 24, 59, 58, 40, 53, 73, 17, 35, 71, 31, 70, 64, 61, 6, 36, 54]",34,2492,8,37685.9525,35193.9525,3,0.975083589553833,0.5952949523925781,1.5703785419464111,0.3,100,10000
