Model,Graph_Version,Total_Budget,Split_Ratio,Timestep,Phase1_Budget,Phase2_Budget,Phase1_Cost,Phase2_Cost,Phase1_Remaining_Budget,Phase2_Remaining_Budget,Total_Remaining_Budget,Phase1_SeedSize,Phase2_SeedSize,Total_SeedSize,Phase1_Seeds,Phase2_Seeds,Phase1_Activated_Count,Phase2_Activated_Count,Phase1_Profit,Phase2_Profit,Total_Profit,Phase2_Duration,Total_Timestep,Execution_Time,Epsilon
StochasticGreedy,Uniform,500,0.1,2,50,450,50,398,0,52,52,1,5,6,54,"0,10,11,48,51",1,13.64,872.0,12023.31,12895.31,4,6,11.91440486907959,0.3
StochasticGreedy,Uniform,500,0.1,4,50,450,50,296,0,154,154,1,4,5,54,"0,11,24,58",1,12.94,872.0,11542.39,12414.39,4,8,7.619387149810791,0.3
StochasticGreedy,Uniform,500,0.1,6,50,450,50,343,0,107,107,1,5,6,54,"0,11,60,64,70",1,12.43,872.0,10921.35,11793.35,4,10,7.777089357376099,0.3
StochasticGreedy,Uniform,500,0.1,8,50,450,50,448,0,2,2,1,6,7,54,"8,11,25,35,36,41",1,12.88,872.0,11350.46,12222.46,4,12,7.341791868209839,0.3
StochasticGreedy,Uniform,500,0.1,10,50,450,50,448,0,2,2,1,7,8,54,"0,15,23,37,62,64,74",1,12.88,872.0,11340.33,12212.33,3,13,8.230380296707153,0.3
StochasticGreedy,Uniform,1000,0.1,2,100,923,77,386,23,537,537,1,5,6,25,"11,27,36,48,56",4,12.28,3606.0,10899.94,14505.94,3,5,8.101666927337646,0.3
StochasticGreedy,Uniform,1000,0.1,4,100,923,77,211,23,712,712,1,3,4,25,"11,18,24",12,7.75,11074.0,6824.79,17898.79,3,7,8.142140865325928,0.3
StochasticGreedy,Uniform,1000,0.1,6,100,923,77,469,23,454,454,1,7,8,25,"6,8,11,28,54,59,71",9,11.81,8153.0,10429.31,18582.309999999998,3,9,8.016832828521729,0.3
StochasticGreedy,Uniform,1000,0.1,8,100,923,77,494,23,429,429,1,7,8,25,"11,16,19,55,68,71,73",8,13.22,7411.0,11602.58,19013.58,3,11,7.934449672698975,0.3
StochasticGreedy,Uniform,1000,0.1,10,100,924,76,386,24,538,538,1,6,7,11,"15,24,52,60,68,74",13,7.41,11652.0,6368.01,18020.010000000002,2,12,7.330632448196411,0.3
StochasticGreedy,Uniform,1500,0.1,2,150,1359,141,1350,9,9,9,2,18,20,"11,55","3,5,8,10,15,18,29,31,33,42,44,54,63,65,66,72,74,75",10,19.5,9064.0,16432.05,25496.05,2,4,7.362581729888916,0.3
StochasticGreedy,Uniform,1500,0.1,4,150,1404,96,493,54,911,911,1,7,8,12,"2,11,27,29,55,68,70",4,14.78,3590.0,13079.73,16669.73,3,7,8.006208419799805,0.3
