Budget,Model,Seed_Set,Seed_Size,Seed_Cost,Remaining_Budget,Avg_Benefit,Profit,Avg_Timestep,Selection_Time,Simulation_Time,Total_Time,Epsilon,Selection_Simulations,Final_Simulations
500,weighted,"[11, 20, 2, 70, 63, 73, 58]",7,488,12,19420.6055,18932.6055,4,0.2171339988708496,0.5287535190582275,0.7458875179290771,0.6,100,10000
1000,weighted,"[11, 69, 76, 36, 0, 63, 28, 2, 49, 46, 55, 29, 64]",13,954,46,33516.6668,32562.6668,4,0.39179348945617676,0.5760383605957031,0.9678318500518799,0.6,100,10000
1500,weighted,"[48, 16, 26, 25, 32, 15, 34, 76, 4, 72, 23, 28, 55, 50, 13, 6, 62, 14, 21, 36, 37]",21,1475,25,31407.1251,29932.1251,4,0.6397426128387451,0.6329617500305176,1.2727043628692627,0.6,100,10000
2000,weighted,"[73, 69, 11, 67, 61, 7, 9, 63, 62, 52, 18, 22, 12, 55, 29, 60, 41, 5]",18,1415,585,30107.8211,28692.8211,4,0.5664434432983398,0.5496976375579834,1.1161410808563232,0.6,100,10000
2500,weighted,"[8, 53, 16, 28, 21, 63, 19, 62, 46, 11, 65]",11,878,1622,23312.1529,22434.1529,4,0.37075018882751465,0.5358419418334961,0.9065921306610107,0.6,100,10000
