Model,Graph_Version,Total_Budget,Split_Ratio,Timestep,Phase1_Budget,Phase2_Budget,Phase1_Cost,Phase2_Cost,Phase1_Remaining_Budget,Phase2_Remaining_Budget,Total_Remaining_Budget,Phase1_SeedSize,Phase2_SeedSize,Total_SeedSize,Phase1_Seeds,Phase2_Seeds,Phase1_Activated_Count,Phase2_Activated_Count,Phase1_Profit,Phase2_Profit,Total_Profit,Phase2_Duration,Total_Timestep,Execution_Time,Epsilon
StochasticGreedy,Uniform,500,0.1,2,50,450,50,339,0,111,111,1,5,6,54,"11,23,24,30,39",1,12.77,872.0,11250.15,12122.15,4,6,12.016483306884766,0.6
StochasticGreedy,Uniform,500,0.1,4,50,450,50,228,0,222,222,1,3,4,54,"11,48,63",1,10.81,872.0,9596.23,10468.23,4,8,7.020916938781738,0.6
StochasticGreedy,Uniform,500,0.1,6,50,450,50,381,0,69,69,1,6,7,54,"2,11,45,55,64,73",1,12.89,872.0,11251.67,12123.67,3,9,7.4336771965026855,0.6
StochasticGreedy,Uniform,500,0.1,8,50,450,50,439,0,11,11,1,6,7,54,"0,3,11,25,63,70",1,13.94,872.0,12366.38,13238.38,4,12,7.508596181869507,0.6
StochasticGreedy,Uniform,500,0.1,10,50,450,50,446,0,4,4,1,6,7,54,"26,29,48,49,63,68",1,11.4,872.0,9939.92,10811.92,3,13,8.276526689529419,0.6
StochasticGreedy,Uniform,1000,0.1,2,100,923,77,628,23,295,295,1,8,9,25,"11,13,29,39,57,59,63,67",6,13.91,5416.0,12165.06,17581.059999999998,3,5,7.552127122879028,0.6
StochasticGreedy,Uniform,1000,0.1,4,100,906,94,465,6,441,441,1,6,7,57,"1,3,4,11,37,41",6,11.92,5451.0,10390.53,15841.53,3,7,8.203160762786865,0.6
StochasticGreedy,Uniform,1000,0.1,6,100,935,65,933,35,2,2,1,13,14,20,"4,9,13,14,15,22,28,34,43,45,48,58,73",1,17.05,904.0,14695.39,15599.39,3,9,7.908305644989014,0.6
StochasticGreedy,Uniform,1000,0.1,8,100,924,76,687,24,237,237,1,10,11,11,"2,18,28,30,34,43,44,45,53,72",14,10.62,12943.0,8876.5,21819.5,2,10,7.450081825256348,0.6
StochasticGreedy,Uniform,1000,0.1,10,100,938,62,785,38,153,153,1,11,12,64,"0,4,6,8,10,12,14,34,45,70,76",3,12.82,2615.0,11040.82,13655.82,3,13,7.774612665176392,0.6
StochasticGreedy,Uniform,1500,0.1,2,150,1423,77,1039,73,384,384,1,13,14,25,"5,6,7,9,10,12,39,47,59,61,66,68,73",5,14.23,4314.0,12213.79,16527.79,2,4,7.7768542766571045,0.6
StochasticGreedy,Uniform,1500,0.1,4,150,1368,132,1012,18,356,356,2,13,15,"31,34","8,10,11,17,21,30,40,45,53,58,62,66,74",2,19.29,1534.0,16663.08,18197.08,3,7,7.40897011756897,0.6
StochasticGreedy,Uniform,1500,0.1,6,150,1423,77,766,73,657,657,1,11,12,25,"11,12,20,22,24,28,37,39,52,54,67",8,15.49,7106.0,13410.67,20516.67,3,9,7.038729429244995,0.6
StochasticGreedy,Uniform,1500,0.1,8,150,1375,125,481,25,894,894,2,6,8,"6,23","16,31,34,38,51,60",11,7.79,9914.0,6367.19,16281.189999999999,2,10,7.649642705917358,0.6
StochasticGreedy,Uniform,1500,0.1,10,150,1358,142,996,8,362,362,2,12,14,"27,30","1,2,5,10,11,20,21,33,34,38,58,65",8,17.08,7489.0,14166.11,21655.11,3,13,7.927176237106323,0.6
