Budget,Model,Seed_Set,Seed_Size,Seed_Cost,Remaining_Budget,Avg_Benefit,Profit,Avg_Timestep,Selection_Time,Simulation_Time,Total_Time,Epsilon,Selection_Simulations,Final_Simulations
500,uniform,"[48, 11, 23, 24, 6, 49, 68]",7,491,9,15549.6565,15058.6565,4,0.35739660263061523,0.5081346035003662,0.8655312061309814,0.1,100,10000
1000,uniform,"[58, 0, 55, 48, 69, 23, 17, 11, 24, 54, 5, 59, 41]",13,960,40,22584.7929,21624.7929,4,0.4687767028808594,0.5861856937408447,1.054962396621704,0.1,100,10000
1500,uniform,"[18, 59, 48, 64, 2, 23, 43, 72, 35, 68, 55, 27, 36, 20, 3, 50, 49, 8, 11, 40, 0]",21,1494,6,29298.1585,27804.1585,3,0.7648656368255615,0.6910457611083984,1.45591139793396,0.1,100,10000
2000,uniform,"[25, 24, 55, 26, 30, 18, 11, 7, 14, 17, 62, 48, 43, 67, 69, 39, 27, 50, 54, 74, 28, 49, 9, 36, 6, 8, 64, 5]",28,1955,45,35077.2447,33122.2447,3,0.8954405784606934,0.5122580528259277,1.407698631286621,0.1,100,10000
2500,uniform,"[57, 70, 24, 76, 26, 23, 35, 74, 43, 73, 18, 9, 55, 8, 50, 68, 66, 62, 6, 30, 37, 63, 53, 1, 54, 34, 28, 42, 48, 11, 40, 0, 56, 15, 33]",35,2480,20,40317.713,37837.713,3,1.0861594676971436,0.602043867111206,1.6882033348083496,0.1,100,10000
