Model,Graph_Version,Total_Budget,Split_Ratio,Timestep,Phase1_Budget,Phase2_Budget,Phase1_Cost,Phase2_Cost,Phase1_Remaining_Budget,Phase2_Remaining_Budget,Total_Remaining_Budget,Phase1_SeedSize,Phase2_SeedSize,Total_SeedSize,Phase1_Seeds,Phase2_Seeds,Phase1_Activated_Count,Phase2_Activated_Count,Phase1_Profit,Phase2_Profit,Total_Profit,Phase2_Duration,Total_Timestep,Execution_Time,Epsilon
StochasticGreedy,Weighted,500,0.1,2,50,450,50,299,0,151,151,1,4,5,54,"0,11,16,18",1,25.36,872.0,23025.42,23897.42,4,6,8.500679969787598,0.1
StochasticGreedy,Weighted,500,0.1,4,50,450,50,421,0,29,29,1,6,7,54,"8,11,26,42,48,64",1,22.96,872.0,20435.64,21307.64,4,8,7.547162771224976,0.1
StochasticGreedy,Weighted,500,0.1,6,50,450,50,421,0,29,29,1,6,7,54,"0,11,20,48,60,67",1,29.21,872.0,26253.98,27125.98,4,10,8.003609657287598,0.1
StochasticGreedy,Weighted,500,0.1,8,50,450,50,409,0,41,41,1,6,7,54,"0,11,23,43,52,55",1,29.37,872.0,26313.09,27185.09,4,12,8.09103512763977,0.1
StochasticGreedy,Weighted,500,0.1,10,50,450,50,432,0,18,18,1,6,7,54,"0,11,17,23,59,62",1,29.61,872.0,26598.44,27470.44,4,14,7.80661416053772,0.1
StochasticGreedy,Weighted,1000,0.1,2,100,928,72,790,28,138,138,1,11,12,23,"0,9,11,19,25,32,54,66,67,73,76",6,32.15,5343.0,28532.76,33875.759999999995,4,6,8.206437587738037,0.1
StochasticGreedy,Weighted,1000,0.1,4,100,928,72,729,28,199,199,1,11,12,23,"0,11,20,22,24,25,36,48,54,64,68",1,37.78,749.0,33744.41,34493.41,4,8,8.217777490615845,0.1
StochasticGreedy,Weighted,1000,0.1,6,100,928,72,511,28,417,417,1,7,8,23,"0,11,36,39,49,68,76",4,27.2,3482.0,24471.39,27953.39,3,9,7.716789960861206,0.1
StochasticGreedy,Weighted,1000,0.1,8,100,928,72,620,28,308,308,1,8,9,23,"0,11,22,29,31,49,58,64",8,29.35,7113.0,26070.89,33183.89,3,11,8.017201900482178,0.1
StochasticGreedy,Weighted,1000,0.1,10,100,928,72,530,28,398,398,1,7,8,23,"0,11,35,43,51,68,76",4,27.54,3616.0,24806.47,28422.47,3,13,8.748612403869629,0.1
StochasticGreedy,Weighted,1500,0.1,2,150,1361,139,645,11,716,716,2,10,12,"23,32","0,11,20,24,28,43,45,48,50,64",5,33.01,4172.0,29611.11,33783.11,4,6,8.380574464797974,0.1
StochasticGreedy,Weighted,1500,0.1,4,150,1359,141,698,9,661,661,2,10,12,"4,23","0,11,15,25,26,48,50,66,68,71",3,34.2,2467.0,30482.18,32949.18,4,8,8.462985277175903,0.1
StochasticGreedy,Weighted,1500,0.1,6,150,1371,129,931,21,440,440,2,13,15,"11,36","4,5,6,19,24,27,30,34,44,49,58,68,73",18,19.47,16210.0,16765.64,32975.64,3,9,8.261557579040527,0.1
StochasticGreedy,Weighted,1500,0.1,8,150,1359,141,1134,9,225,225,2,16,18,"4,23","0,8,10,26,28,30,33,43,53,55,61,62,66,67,72,73",8,27.73,7122.0,24250.53,31372.53,3,11,8.221546649932861,0.1
StochasticGreedy,Weighted,1500,0.1,10,150,1352,148,675,2,677,677,2,10,12,"8,48","11,23,25,28,36,37,55,57,73,74",4,28.67,3601.0,25263.78,28864.78,4,14,8.055773258209229,0.1
StochasticGreedy,Weighted,2000,0.1,2,200,1844,156,527,44,1317,1317,2,7,9,"27,32","0,11,17,39,45,51,69",4,27.01,3589.0,24385.01,27974.01,3,5,8.511629819869995,0.1
StochasticGreedy,Weighted,2000,0.1,4,200,1847,153,509,47,1338,1338,2,7,9,"23,46","0,11,34,48,49,68,75",5,30.65,4189.0,27531.02,31720.02,4,8,8.523666143417358,0.1
StochasticGreedy,Weighted,2000,0.1,6,200,1852,148,983,52,869,869,2,13,15,"8,48","0,2,4,13,24,27,28,35,46,49,50,67,76",8,26.89,7076.0,23220.73,30296.73,3,9,8.331127405166626,0.1
StochasticGreedy,Weighted,2000,0.1,8,200,1871,129,699,71,1172,1172,2,9,11,"23,68","4,11,17,27,38,43,48,57,59",7,24.93,6136.0,21996.04,28132.04,4,12,8.464515447616577,0.1
StochasticGreedy,Weighted,2000,0.1,10,200,1834,166,843,34,991,991,2,12,14,"11,35","0,2,17,19,24,25,37,38,45,48,60,70",11,28.61,9729.0,25059.74,34788.740000000005,3,13,7.8182361125946045,0.1
StochasticGreedy,Weighted,2500,0.1,2,250,2265,235,1304,15,961,961,3,17,20,"4,23,57","0,3,6,9,11,12,24,32,34,37,41,46,49,62,66,71,74",20,31.43,17619.0,27373.13,44992.130000000005,3,5,7.660017728805542,0.1
