Budget,Model,Seed_Set,Seed_Size,Seed_Cost,Remaining_Budget,Avg_Benefit,Profit,Avg_Timestep,Selection_Time,Simulation_Time,Total_Time,Epsilon,Selection_Simulations,Final_Simulations
500,weighted,"[68, 24, 0, 28, 25, 26, 11]",7,458,42,29630.8068,29172.8068,4,0.3060638904571533,0.49787092208862305,0.8039348125457764,0.1,100,10000
1000,weighted,"[27, 73, 59, 55, 11, 23, 19, 58, 7, 0, 24, 26, 64, 16]",14,999,1,38486.2453,37487.2453,4,0.45119643211364746,0.5307159423828125,0.98191237449646,0.1,100,10000
1500,weighted,"[51, 70, 29, 64, 2, 74, 25, 48, 16, 26, 30, 50, 18, 31, 28, 57, 15, 32, 4, 69, 0]",21,1452,48,38873.8919,37421.8919,3,0.674302339553833,0.610689640045166,1.284991979598999,0.1,100,10000
2000,weighted,"[49, 36, 23, 75, 57, 60, 8, 0, 29, 15, 46, 34, 10, 48, 28, 27, 43, 55, 18, 2, 51, 58, 11, 73, 24, 20, 19]",27,1978,22,50538.5916,48560.5916,3,0.8505957126617432,0.6043460369110107,1.454941749572754,0.1,100,10000
2500,weighted,"[68, 23, 8, 2, 20, 17, 57, 48, 25, 69, 9, 49, 4, 58, 38, 26, 11, 59, 6, 29, 70, 55, 42, 0, 43, 24, 3, 72, 66, 51, 18, 73, 33, 36]",34,2498,2,52568.8645,50070.8645,3,1.0122437477111816,0.571685791015625,1.5839295387268066,0.1,100,10000
