Budget,Model,Seed_Set,Seed_Size,Seed_Cost,Remaining_Budget,Avg_Benefit,Profit,Avg_Timestep,Selection_Time,Simulation_Time,Total_Time,Epsilon,Selection_Simulations,Final_Simulations
500,trivalency,"[48, 15, 26, 36, 11, 68, 6, 30]",8,479,21,10005.364,9526.364,3,3.746211290359497,0.5701496601104736,4.316360950469971,0.01,100,10000
1000,trivalency,"[54, 68, 48, 55, 11, 6, 62, 15, 36, 26, 17, 24, 19, 39, 18]",15,971,29,17004.3015,16033.301500000001,3,0.8102118968963623,0.5308339595794678,1.34104585647583,0.01,100,10000
1500,trivalency,"[48, 24, 30, 19, 54, 11, 45, 55, 26, 6, 73, 64, 15, 41, 20, 36, 2, 50, 44, 32, 0, 74, 27]",23,1463,37,24518.1086,23055.1086,3,1.0210139751434326,0.5756063461303711,1.5966203212738037,0.01,100,10000
2000,trivalency,"[26, 48, 70, 6, 43, 74, 15, 23, 30, 55, 68, 67, 24, 64, 19, 34, 41, 35, 7, 25, 58, 73, 57, 18, 44, 20, 45, 36, 37, 54]",30,1993,7,30798.2639,28805.2639,3,1.2223665714263916,0.5271918773651123,1.749558448791504,0.01,100,10000
2500,trivalency,"[23, 26, 11, 25, 28, 55, 54, 68, 41, 20, 2, 48, 58, 67, 0, 42, 15, 36, 30, 31, 45, 33, 32, 73, 50, 43, 57, 74, 64, 14, 4, 51, 29, 18, 19, 7, 6]",37,2470,30,37757.1106,35287.1106,3,1.3859155178070068,0.5525591373443604,1.9384746551513672,0.01,100,10000
